score,actions,loss,eps
3.0,1.1,2.334698207531538,0.999802
494.4,139.91,1.5635187129729977,0.9746182
509.3,137.7,1.4721797475904101,0.9498322
465.2,129.61,1.4655541284324691,0.9265024
551.3,143.38,1.424041037063297,0.900694
508.5,139.97,1.334928795942529,0.8754994
600.7,149.01,1.6445505269075316,0.8486776
630.9,141.53,1.6222521282461468,0.8232022
583.8,143.18,1.5918583428375586,0.7974298
661.8,149.94,1.5646917782732832,0.7704406
705.6,149.19,1.5349269798715581,0.7435864
795.9,156.95,1.783143252898386,0.7153354
737.3,154.82,1.7574432902014088,0.6874678
786.5,159.93,1.709224950475536,0.6586803999999999
835.0,162.58,1.6566859297792886,0.629416
848.5,162.72,1.6005927820330768,0.6001264
940.3,164.39,1.8353648400307412,0.5705362
1047.3,170.0,1.8042571623334618,0.5399362000000001
1038.3,165.61,1.829903133654756,0.5101264
1017.7,166.86,1.8274297422640096,0.48009159999999995
1036.5,166.81,1.8093094486342078,0.45006579999999996
1178.6,175.25,2.0419394235845516,0.4185207999999999
1103.6,169.19,1.962098082896647,0.38806659999999993
1148.7,168.7,1.9789545988668016,0.3577005999999999
1286.5,174.09,1.9881878393458794,0.3263644
1379.6,183.66,2.010639828123338,0.29330559999999994
1436.2,188.28,2.2419241909067376,0.25941519999999996
1538.4,189.48,2.1672825117962007,0.22530879999999998
1500.3,186.18,2.184423841198663,0.19179639999999998
1631.3,194.73,2.19522451741272,0.15674500000000002
1654.4,193.07,2.1793412180140144,0.1219924
1867.6,201.37,2.362651914345305,0.1
1980.8,213.92,2.290084469655058,0.1
1958.2,211.16,2.286774619891712,0.1
1993.9,213.18,2.3047393668799554,0.1
2111.3,212.84,2.3601797682893175,0.1
2120.7,220.23,2.555636191812396,0.1
2272.7,229.42,2.525945376271285,0.1
2391.0,233.65,2.581390621901584,0.1
2147.5,227.66,2.5746762952126425,0.1
2239.3,223.03,2.527745474915958,0.1
2204.3,229.6,2.6836988791354437,0.1
2188.5,224.08,2.6251193436356144,0.1
2193.5,220.86,2.5935730112533855,0.1
2149.1,221.77,2.623936683235048,0.1
2138.0,229.41,2.623889772966967,0.1
2273.1,227.64,2.7141628715537,0.1
2215.9,227.2,2.650633784350471,0.1
2273.8,232.04,2.6745367594007163,0.1
2269.5,226.96,2.6887527686869666,0.1
2266.2,226.73,2.77767721844648,0.1
2169.9,225.07,2.825506114473099,0.1
2351.6,230.94,2.7125744679253794,0.1
2252.0,227.57,2.7357609062027253,0.1
2129.8,218.56,2.7332371657277057,0.1
2118.8,227.61,2.6741590497589405,0.1
2283.8,232.92,2.715069962879564,0.1
2223.1,229.74,2.6787204581739124,0.1
2216.3,220.92,2.7153625327470334,0.1
2247.5,231.39,2.7687253085594947,0.1
2426.1,229.73,2.8312578553998167,0.1
2148.5,230.05,2.937164263294855,0.1
2050.6,216.59,2.838171094663943,0.1
2174.6,222.92,2.8394165279608297,0.1
2145.5,223.94,2.940410123767312,0.1
2147.6,217.28,2.9872371283652064,0.1
2151.1,224.58,2.89271294103293,0.1
2194.2,215.18,2.71929860863113,0.1
2225.1,223.27,2.7113683762036382,0.1
2211.3,213.42,2.754747951179441,0.1
2286.7,221.09,2.8270844634964263,0.1
2138.7,222.23,2.8112062600441003,0.1
2109.7,214.67,2.754357665942678,0.1
2215.0,231.5,2.7164043940141416,0.1
2200.7,225.05,2.704229327531393,0.1
2252.4,226.45,2.725570379748803,0.1
2190.2,223.18,2.79814040057574,0.1
2269.2,229.05,2.7221042910572777,0.1
2299.2,230.04,2.8006824516851805,0.1
2230.0,226.17,2.8990634911244952,0.1
2394.5,231.99,2.9707736996401395,0.1
2092.5,215.97,3.0885024212876346,0.1
2352.3,221.67,3.0788060492626492,0.1
2150.1,216.84,3.1349721050188832,0.1
2198.7,223.64,3.0894912452290875,0.1
2158.9,226.23,3.0107390804190373,0.1
2053.4,224.0,3.0489620116911724,0.1
2334.8,228.6,2.9312705357316062,0.1
2140.8,226.72,3.0055141968145507,0.1
2204.7,228.61,3.051935726167027,0.1
2274.0,229.81,3.076688411355984,0.1
2102.9,220.61,3.1176566624238853,0.1
2283.4,227.08,3.032400424417671,0.1
2391.9,222.15,3.0729226443850424,0.1
2373.2,232.67,3.1225662682388196,0.1
2272.4,225.57,3.141627966271268,0.1
2118.3,215.51,3.2714512807639333,0.1
2206.1,225.64,3.1832836429394393,0.1
2195.9,223.69,3.164751613785539,0.1
2187.8,224.1,3.1686826041622997,0.1
