score,actions,loss,eps
6.4,1.57,6.811452693265418,0.9997174
481.8,134.4,3.374337216710583,0.9755254
468.8,135.02,2.9697760346354847,0.9512218
497.5,140.37,2.500813591735667,0.9259552
505.8,134.1,2.2518894038311053,0.9018172
543.0,141.27,2.183802917787729,0.8763886
545.3,142.59,3.21977975369503,0.8507224
567.5,143.98,3.000575462684805,0.824806
577.7,145.23,2.880931991069164,0.7986646
660.9,152.19,2.7720905678325702,0.7712704
678.2,150.36,2.741088684326066,0.7442056
663.1,152.51,3.4819319508840323,0.7167538
695.8,149.75,3.2682598040672097,0.6897987999999999
732.6,150.37,3.203459721530555,0.6627322
837.7,161.04,3.1450171751683595,0.633745
854.7,166.63,3.175637647123699,0.6037516
861.2,165.81,3.825743586441467,0.5739057999999999
900.4,163.13,3.662894752768808,0.5445424
979.1,164.62,3.6388302642891444,0.5149108
969.5,166.87,3.709656711340722,0.48487420000000003
1133.2,176.46,3.7507261411698245,0.45311140000000005
1143.7,168.08,4.3432936324365174,0.42285700000000004
1164.5,174.58,4.223024696856395,0.3914326
1207.5,179.68,4.245595730577852,0.3590901999999999
1238.3,183.58,4.161876894854255,0.32604579999999994
1331.9,184.4,4.094105582998625,0.29285379999999994
1517.6,194.88,4.645568062932871,0.2577754
1453.1,191.43,4.591366814841847,0.22331800000000002
1506.8,191.1,4.592335787478665,0.18891999999999998
1551.2,195.53,4.542088957580314,0.1537246
1681.1,198.89,4.595496939389098,0.11792440000000004
1744.5,205.21,5.074541155613948,0.1
1893.7,214.43,4.984512745559241,0.1
2021.5,218.36,5.0729947125757215,0.1
1857.1,211.82,5.086584986052537,0.1
1890.5,211.67,5.092701194718393,0.1
1926.6,217.22,5.351330254119565,0.1
1962.7,215.61,5.2816295161450055,0.1
2096.5,227.7,5.351347666849915,0.1
1922.4,207.97,5.397930235773341,0.1
2033.4,219.16,5.382591705679551,0.1
1970.3,221.19,5.646083824361792,0.1
1979.0,222.07,5.485786307520083,0.1
2010.0,220.53,5.53872163375789,0.1
1905.2,224.68,5.576353028745589,0.1
1967.6,218.39,5.54251615583359,0.1
2013.3,221.14,5.609839071805758,0.1
2129.0,220.77,5.649974479872436,0.1
2141.4,223.1,5.831709431855868,0.1
2049.9,226.96,5.840970725125732,0.1
2079.4,225.14,5.747935591526498,0.1
2184.0,231.15,5.947563684826003,0.1
2137.6,219.36,5.847344485945038,0.1
2235.3,228.49,5.966041219724759,0.1
2103.1,225.49,6.023038952192624,0.1
2174.7,228.28,5.962378839884343,0.1
2141.0,232.44,5.9981998752177885,0.1
2152.0,223.61,5.9163790284570394,0.1
2203.5,224.81,6.058355905310146,0.1
2220.7,233.45,6.163594508903852,0.1
2186.8,230.94,6.059943777720753,0.1
2203.6,229.81,6.121009045263779,0.1
2138.4,226.22,6.05437843434973,0.1
2266.7,227.35,6.119999252311183,0.1
2278.1,228.8,6.149096850345523,0.1
2186.7,225.68,6.2526399837143245,0.1
2099.4,224.97,6.306519264597437,0.1
2121.5,226.18,6.092746390765194,0.1
2235.4,221.54,6.216230566047116,0.1
2029.7,222.69,6.357874243562231,0.1
2093.3,220.28,6.3034355363263845,0.1
2186.1,225.4,6.4001677550190355,0.1
2189.6,224.19,6.219146661711311,0.1
2072.4,218.09,6.300149944667732,0.1
2054.8,219.42,6.326061209008912,0.1
2090.3,224.4,6.258595934771865,0.1
1991.1,214.95,6.406012656972086,0.1
1999.3,212.55,6.306385670482089,0.1
2071.8,222.43,6.493467747505924,0.1
2033.7,222.69,6.424994882150185,0.1
2076.1,220.49,6.451623792758934,0.1
1942.3,217.34,6.585561297257317,0.1
2077.6,224.39,6.381663095372539,0.1
1989.3,218.31,6.4105375206321416,0.1
2054.6,222.8,6.626012000755893,0.1
2189.9,224.38,6.692029724555205,0.1
2064.9,219.05,6.791105768654586,0.1
2101.1,215.92,6.552705732795674,0.1
2006.2,217.35,6.6080257846276895,0.1
2047.5,221.47,6.659512603290195,0.1
1982.1,221.63,6.585627815245571,0.1
2169.5,221.92,6.688849950056166,0.1
2368.3,228.68,6.7441422684153665,0.1
2118.2,225.02,6.9459494406986675,0.1
2088.2,219.61,6.834794651157331,0.1
2183.9,227.39,6.791055771808227,0.1
2097.1,222.84,7.132420254459334,0.1
2172.8,227.49,6.955645690560786,0.1
1954.8,219.12,6.996462435731219,0.1
2059.3,225.89,6.872005856425287,0.1
