score,actions,loss,eps
4.4,1.25,22.814980179490522,0.999775
564.8,139.32,17.867916569424157,0.9746974
467.0,134.54,16.70434546793622,0.9504802
475.5,136.77,16.10917330878497,0.9258616
467.4,134.88,14.992703953889515,0.9015832
469.3,134.64,14.107506216860584,0.877348
482.2,133.54,23.06392313578537,0.8533108
549.3,135.06,23.390754695722272,0.829
548.7,141.42,24.156426405084794,0.8035444
564.1,138.34,24.650778394150763,0.7786432
537.1,136.32,25.21198338069934,0.7541056
589.3,145.85,31.134485620361357,0.7278526
540.0,139.94,31.075417476623944,0.7026633999999999
563.4,139.42,30.59292106461739,0.6775678
578.7,143.63,30.32212243731547,0.6517143999999999
557.4,140.57,29.972372171068265,0.6264118
639.8,146.21,33.553593298823905,0.600094
637.9,146.02,33.69971754106375,0.5738103999999999
524.1,138.69,33.323724132831416,0.5488462000000001
611.9,145.29,33.31987543591685,0.522694
601.2,144.87,32.75106569273866,0.4966174
589.7,143.33,36.51404522657302,0.47081799999999996
659.1,148.43,36.84401628558663,0.44410059999999996
715.9,156.96,37.509664783698604,0.4158477999999999
672.0,154.56,38.087121608800196,0.388027
640.4,148.04,38.653573626913335,0.3613797999999999
796.9,163.59,42.41754652568227,0.33193359999999994
790.2,155.84,43.02941941632704,0.3038824
706.1,159.92,43.25867008604256,0.2750967999999999
752.4,157.22,42.58643012084269,0.24679719999999994
694.6,149.39,42.09490395985252,0.21990699999999996
776.9,159.17,44.935944886681,0.1912564
814.3,164.8,44.767660614766974,0.16159239999999997
734.7,152.04,44.659207707356735,0.13422519999999993
803.5,152.4,45.26355182784757,0.10679319999999992
722.8,153.84,45.735256567310465,0.1
684.1,152.1,50.96726758959944,0.1
698.3,149.18,50.308436054134354,0.1
775.5,154.8,50.270354853326815,0.1
742.5,153.65,51.342506979343725,0.1
661.7,142.64,51.60453703056754,0.1
725.9,152.04,42.62790390931343,0.1
754.8,160.9,42.967233435971536,0.1
667.0,144.27,42.29203814634691,0.1
676.4,152.29,40.72575492326839,0.1
713.8,152.78,39.160092854578224,0.1
680.5,149.71,39.47202868638676,0.1
627.5,145.5,38.99369150161166,0.1
599.9,144.63,39.28356566134732,0.1
600.9,144.82,37.799289924562906,0.1
668.8,147.88,37.54821643958378,0.1
702.5,148.43,37.74461390386406,0.1
703.9,154.6,38.25481637776707,0.1
615.0,142.55,38.75644626957175,0.1
672.3,152.31,38.87479475361782,0.1
680.8,153.36,37.99948689078611,0.1
692.5,148.53,42.180002153129,0.1
723.0,147.37,42.70449472191502,0.1
759.1,156.56,43.287315711120485,0.1
746.6,152.28,43.250039651967576,0.1
664.4,143.85,42.82936997583161,0.1
693.7,147.51,42.41961155264821,0.1
721.1,152.85,42.05258508728895,0.1
684.2,152.08,41.57001725985787,0.1
743.5,160.3,41.06951071460348,0.1
667.2,149.1,40.9422766535104,0.1
729.9,151.38,41.916818871863875,0.1
705.2,148.28,41.95977778611316,0.1
739.0,154.19,42.36470449332381,0.1
760.4,155.76,42.62268265062473,0.1
692.7,149.63,42.39751500112522,0.1
698.9,149.58,44.6480384994729,0.1
723.2,155.29,44.09826312494382,0.1
754.7,155.37,44.37839871356502,0.1
762.2,161.16,44.49947841234278,0.1
782.6,155.85,44.63099982928716,0.1
674.2,149.42,45.95685655313029,0.1
742.5,158.97,45.56451508612411,0.1
705.7,147.74,45.450868427906535,0.1
773.9,164.36,45.17966789702749,0.1
740.2,154.27,45.26209964189588,0.1
765.1,160.73,44.713946042927404,0.1
826.0,172.6,44.150919187827874,0.1
845.1,164.35,43.578485612366485,0.1
811.9,161.89,43.4637397948903,0.1
709.2,155.73,43.10560422271798,0.1
821.6,158.91,44.00911944512042,0.1
721.5,153.76,43.23551322997187,0.1
795.1,159.86,43.78403718648525,0.1
655.9,145.42,44.515509809413814,0.1
741.6,155.56,44.47334513879417,0.1
750.1,157.2,46.67685868063825,0.1
740.6,157.05,46.131314887198016,0.1
698.6,148.73,45.90181553577122,0.1
772.2,155.06,46.22005432768258,0.1
785.4,160.4,46.75307110043675,0.1
686.7,149.59,48.86801913965439,0.1
677.1,151.92,48.02809098997145,0.1
679.7,152.27,47.211426146176514,0.1
849.7,158.42,47.711119233343446,0.1
